transaction_id,customer_id,vendor_id,transaction_date,amount,payment_method,is_flagged_anomaly,anomaly_score
TXN_5,999.0,201,2026-09-01,15000.0,Unknown,0,0.0
TXN_7,104.0,201,2026-09-01,15000.0,Bank Transfer,0,0.0
TXN_8,103.0,202,2026-09-01,120.5,Unknown,0,0.04000547807747634
TXN_18,104.0,201,2026-09-02,450.0,Unknown,0,0.028358257160783773
TXN_36,103.0,201,2026-09-02,120.5,PayPal,0,0.04000547807747634
TXN_37,103.0,203,2026-09-02,15000.0,PayPal,0,0.0
TXN_42,101.0,203,2026-09-01,450.0,Unknown,0,0.028358257160783773
TXN_45,102.0,203,2026-09-02,120.5,Credit Card,0,0.04000547807747634
TXN_46,999.0,204,2026-09-01,450.0,Credit Card,0,0.028358257160783773
TXN_49,999.0,203,2026-09-01,450.0,PayPal,0,0.028358257160783773
TXN_50,999.0,204,2026-09-02,120.5,Credit Card,0,0.04000547807747634
TXN_52,102.0,204,2026-09-02,450.0,PayPal,0,0.028358257160783773
TXN_59,105.0,204,2026-09-01,120.5,Bank Transfer,0,0.04000547807747634
TXN_62,103.0,203,2026-09-01,450.0,Unknown,0,0.028358257160783773
TXN_64,102.0,204,2026-09-02,15000.0,PayPal,0,0.0
TXN_65,105.0,203,2026-09-01,450.0,PayPal,0,0.028358257160783773
TXN_68,102.0,204,2026-09-01,120.5,Bank Transfer,0,0.04000547807747634
TXN_69,101.0,201,2026-09-02,450.0,Credit Card,0,0.028358257160783773
TXN_77,105.0,201,2026-09-02,15000.0,Bank Transfer,0,0.0
TXN_78,101.0,202,2026-09-01,450.0,Unknown,0,0.028358257160783773
TXN_79,101.0,201,2026-09-01,15000.0,PayPal,0,0.0
TXN_80,999.0,204,2026-09-01,450.0,Credit Card,0,0.028358257160783773
TXN_81,102.0,204,2026-09-02,450.0,Bank Transfer,0,0.028358257160783773
TXN_82,999.0,202,2026-09-01,15000.0,Bank Transfer,0,0.0
TXN_93,105.0,203,2026-09-02,15000.0,Unknown,0,0.0
TXN_97,104.0,203,2026-09-02,450.0,Credit Card,0,0.028358257160783773
TXN_101,104.0,203,2026-09-02,15000.0,Bank Transfer,0,0.0
TXN_104,104.0,203,2026-09-02,15000.0,PayPal,0,0.0
TXN_106,999.0,201,2026-09-01,15000.0,PayPal,0,0.0
TXN_107,105.0,204,2026-09-02,120.5,Credit Card,0,0.04000547807747634
TXN_111,999.0,204,2026-09-02,15000.0,Credit Card,0,0.0
TXN_113,105.0,204,2026-09-01,450.0,PayPal,0,0.028358257160783773
TXN_115,105.0,204,2026-09-02,15000.0,Bank Transfer,0,0.0
TXN_118,999.0,203,2026-09-01,120.5,Credit Card,0,0.04000547807747634
TXN_122,999.0,202,2026-09-02,450.0,Unknown,0,0.028358257160783773
TXN_123,103.0,203,2026-09-01,15000.0,Bank Transfer,0,0.0
TXN_125,102.0,201,2026-09-01,120.5,Credit Card,0,0.04000547807747634
TXN_126,104.0,202,2026-09-01,120.5,PayPal,0,0.04000547807747634
TXN_135,102.0,202,2026-09-02,15000.0,PayPal,0,0.0
TXN_149,999.0,201,2026-09-01,120.5,Credit Card,0,0.04000547807747634
TXN_155,101.0,203,2026-09-01,120.5,Unknown,0,0.04000547807747634
TXN_156,105.0,204,2026-09-01,450.0,Bank Transfer,0,0.028358257160783773
TXN_159,999.0,203,2026-09-01,120.5,PayPal,0,0.04000547807747634
TXN_165,103.0,203,2026-09-01,450.0,PayPal,0,0.028358257160783773
TXN_166,101.0,203,2026-09-02,450.0,PayPal,0,0.028358257160783773
TXN_168,102.0,204,2026-09-01,15000.0,PayPal,0,0.0
TXN_169,105.0,203,2026-09-01,450.0,Bank Transfer,0,0.028358257160783773
TXN_170,102.0,203,2026-09-01,450.0,Bank Transfer,0,0.028358257160783773
TXN_172,999.0,201,2026-09-01,15000.0,Unknown,0,0.0
TXN_176,105.0,201,2026-09-02,15000.0,Bank Transfer,0,0.0
TXN_177,102.0,201,2026-09-02,450.0,Credit Card,0,0.028358257160783773
